Unit 8-3,vet,獣医
Unit 8-3,baker,パン焼き職人
Unit 8-3,artist,芸術家、芸能人
Unit 8-3,farmer,農場主
Unit 8-3,astronaut,宇宙飛行士
Unit 8-3,researcher,研究者
Unit 8-3,fire fighter,消防士
Unit 8-3,also,…もまた、そのうえ
Unit 8-3,else,(その)ほかに[の]
Unit 8-3,again,もう一度、再び、また
Unit 8-3,that,あれ、それ、あの[その]人[もの、こと]
Unit 8-3,this,これ、この人[もの、こと]
Unit 8-3,these,これら、この人たち
Unit 8-3,anything,[疑問文で]何か
Unit 8-3,all over,…のいたるところに[で、の]
Unit 8-3,first,1日、1番め(の)、最初(の)
Unit 8-3,second,2日、2番め(の)
Unit 8-3,third,3日、3番め(の)
Unit 8-3,fourth,4日、4番め(の)
Unit 8-3,fifth,5日、5番め(の)
Unit 8-3,sixth,6日、6番め(の)
Unit 8-3,seventh,7日、7番め(の)
Unit 8-3,eighth,8日、8番め(の)
Unit 9-1,shrine,神社
Unit 9-1,temple,寺
Unit 9-1,wish,願い、願い事
Unit 9-1,future,未来、将来
Unit 9-1,symbol,シンボル、象徴、記号
Unit 9-1,tour,旅行、ツアー、見学
Unit 9-1,charm,お守り
Unit 9-1,festival,祭り、催し物
Unit 9-1,good,よい
Unit 9-1,bad,悪い、よくない、ひどい
Unit 9-1,famous,有名な
Unit 9-1,popular,人気のある
Unit 9-1,beautiful,美しい
Unit 9-1,special,特別な
Unit 9-1,traditional,伝統的な
Unit 9-1,interesting,おもしろい、興味深い
Unit 9-1,life,生活、暮らし
Unit 9-1,vacation,休暇、休み
Unit 9-1,New Year,新年
Unit 9-1,game,遊び、ゲーム
Unit 9-1,stadium,スタジアム、競技場
Unit 9-1,hiking,ハイキング
Unit 9-1,swimming,水泳
Unit 9-1,ice hockey,アイスホッケー
Unit 9-1,go,行く
Unit 9-1,come,来る、行く、巡ってくる
Unit 9-1,make,…を作る、得る
Unit 9-1,see,…が見える、…を見る、見物する
Unit 9-1,write,(…を)書く
Unit 9-1,read,(…を)読む、読んで知る
Unit 9-1,spend,(時)を過ごす
Unit 9-1,buy,…を買う
Unit 9-1,went,go(行く)
Unit 9-1,came,come(来る)
Unit 9-1,made,make(作る)
Unit 9-1,saw,see(見る)
Unit 9-1,wrote,write(書く)
Unit 9-1,read,read(読む)
Unit 9-1,spent,spend(過ごす)
Unit 9-1,bought,buy(買う)
Unit 9-2,donut,ドーナツ
Unit 9-2,chocolate,チョコレート
Unit 9-2,ice cream,アイスクリーム
Unit 9-2,ham,ハム
Unit 9-2,bacon,ベーコン
Unit 9-2,omelet,オムレツ
Unit 9-2,pizza,ピザ
Unit 9-2,French fries,フライドポテト
Unit 9-2,ink,インク
Unit 9-2,pen,ペン
Unit 9-2,gift,おくり物
Unit 9-2,writer,筆者、作家
Unit 9-2,book,本
Unit 9-2,card,カード、はがき
Unit 9-2,e-mail,Eメール
Unit 9-2,letter,手紙
Unit 9-2,during,…の間ずっと、…の間に
Unit 9-2,outside,外で[に、へ]
Unit 9-2,last,この前の、昨…、先…
Unit 9-2,every,毎…、…ごとに
Unit 9-2,short,(時間・長さ・距離が)短い
Unit 9-2,long,長い
Unit 9-2,soft,やわらかい
Unit 9-2,wooden,木でできた、木製の
Unit 9-2,miss,…がいないのをさびしく思う
Unit 9-2,enjoy,…を楽しむ
Unit 9-2,ski,スキーをする
Unit 9-2,clean,…をそうじする
Unit 9-2,relax,くつろぐ
Unit 9-2,stay,滞在する、泊まる
Unit 9-2,visit,(人、場所)を訪ねる
Unit 9-2,look for,さがす
Unit 9-2,girl,女の子、少女
Unit 9-2,boy,男の子、少年
Unit 9-2,mother,母、お母さん
Unit 9-2,father,父、お父さん
Unit 9-2,parent,親、[parentsで]親たち、両親
Unit 9-2,grandma,おばあちゃん
Unit 9-2,grandpa,おじいちゃん
Unit 9-2,grandparent,祖父、祖母
Unit 10-1,excuse,言い訳、弁解、口実
Unit 10-1,mistake,誤り、まちがい
Unit 10-1,place,順位、立場
Unit 10-1,turn,順番、番
Unit 10-1,practice,練習
Unit 10-1,memory,思い出
Unit 10-1,album,アルバム
Unit 10-1,souvenir,記念品、みやげ
Unit 10-1,each,それぞれの、各自の
Unit 10-1,everyone,みなさん、みんな、だれでも
Unit 10-1,anyone,[肯定文で]だれでも
Unit 10-1,never,決して…ない
Unit 10-1,anyway,とにかく、それでも
Unit 10-1,someday,いつか
Unit 10-1,sometimes,ときどき
Unit 10-1,at first,最初は、はじめのうちは
Unit 10-1,event,出来事、行事
Unit 10-1,campfire,キャンプファイア
Unit 10-1,field trip,校外見学、遠足
Unit 10-1,stage,舞台、ステージ
Unit 10-1,chorus,合唱
Unit 10-1,contest,コンテスト、コンクール
Unit 10-1,ceremony,式典、儀式
Unit 10-1,sports day,運動会
Unit 10-1,say,(…を)言う、…だと言う
Unit 10-1,eat,…を食べる、食事をする
Unit 10-1,get,(ある状態)になる
Unit 10-1,win,…を勝ち取る、獲得する
Unit 10-1,fall,転ぶ、たおれる
Unit 10-1,have,…を持つ、…がある、…を飼っている
Unit 10-1,meet,…と知り合いになる
Unit 10-1,think,考える、思う
Unit 10-1,said,say(言う)
Unit 10-1,ate,eat(食べる)
Unit 10-1,got,get(…になる)
Unit 10-1,won,win(勝ち取る)
Unit 10-1,fell,fall(転ぶ)
Unit 10-1,had,have(持つ)
